,sentence,Mot,Label
105,10,consent,O
106,11,Possible,B-Mood
107,11,pregnancy,B-Condition
108,11,(,O
109,11,confirmed,O
110,11,by,O
111,11,urine,B-Procedure
112,11,test,I-Procedure
113,11,),O
114,12,Women,B-Person
115,12,who,O
116,12,are,O
117,12,breastfeeding,B-Observation
118,13,Severe,O
119,13,claustrophobia,B-Condition
120,14,Inability,B-Condition
121,14,to,I-Condition
122,14,lie,I-Condition
123,14,flat,I-Condition
124,14,for,O
125,14,20,O
126,14,-,O
127,14,30,O
128,14,minutes,O
129,14,(,O
130,14,the,O
131,14,anticipated,O
132,14,amount,O
133,14,of,O
134,14,time,O
135,14,to,O
136,14,complete,O
137,14,the,O
138,14,MRI,O
139,14,procedure,O
140,14,),O
141,15,Individuals,O
142,15,with,O
143,15,cochlear,O
144,15,implants,O
145,16,Individuals,O
146,16,with,O
147,16,non,O
148,16,-,O
149,16,MRI,O
150,16,compatible,O
151,16,aneurysm,O
152,16,clips,O
153,17,Potential,O
154,17,contraindications,O
155,17,to,O
156,17,regadenoson,O
157,17,use,O
158,17,due,O
159,17,to,O
160,17,:,O
161,18,Contraindication,B-Condition
162,18,to,O
163,18,administration,O
164,18,of,O
165,18,Gadolinium,B-Drug
166,18,(,I-Drug
167,18,Gd,I-Drug
168,18,),I-Drug
169,18,based,I-Drug
170,18,contrast,I-Drug
171,18,agents,I-Drug
172,18,(,I-Drug
173,18,GBCA,I-Drug
174,18,):,I-Drug
175,19,Aged,B-Person
176,19,18,O
177,19,years,O
178,19,or,O
179,19,older,O
180,20,Scheduled,B-Mood
181,20,for,O
182,20,invasive,B-Procedure
183,20,coronary,I-Procedure
184,20,angiography,I-Procedure
185,21,allergic,B-Condition
186,21,history,B-Observation
187,21,to,O
188,21,dexmedetomidine,B-Drug
189,22,refractory,O
190,22,bradycardia,B-Condition
191,22,<,O
192,22,60,O
193,22,bpm,O
194,22,despite,O
195,22,treatment,B-Procedure
196,23,severe,O
197,23,atrioventricular,B-Condition
198,23,block,I-Condition
199,23,(,O
200,23,2nd,O
201,23,and,O
202,23,3rd,O
203,23,degree,O
204,23,),O
205,24,previous,O
206,24,operation,B-Procedure
207,24,of,I-Procedure
208,24,tongue,I-Procedure
209,25,kidney,B-Procedure
210,25,transplant,I-Procedure
211,25,recipient,O
212,26,Uncontrolled,O
213,26,diabetes,B-Condition
214,27,Ulcer,B-Condition
215,27,infection,I-Condition
216,28,Non,O
217,28,-,O
218,28,diabetic,O
219,28,ulcers,B-Condition
220,28,Orthopedic,B-Condition
221,28,or,I-Condition
222,28,neuromuscular,I-Condition
223,28,pathologic,I-Condition
224,28,conditions,I-Condition
225,29,Diagnosis,O
226,29,of,O
227,29,diabetes,B-Condition
228,29,mellitus,I-Condition
229,29,according,O
230,29,to,O
231,29,World,O
232,29,Health,O
233,29,Organization,O
234,29,criteria,O
235,29,(,O
236,29,treatment,B-Procedure
237,29,with,O
238,29,insulin,B-Drug
239,29,or,O
240,29,an,O
241,29,oral,B-Drug
242,29,hypoglycemic,I-Drug
243,29,agent,I-Drug
244,29,",",O
245,29,twice,O
246,29,random,O
247,29,glucose,O
248,29,measurements,O
249,29,major,O
250,29,than,O
251,29,200,O
252,29,mg,O
253,29,/,O
254,29,dl,O
255,29,",",O
256,29,or,O
257,29,a,O
258,29,fasting,O
259,29,glucose,O
260,29,major,O
261,29,than,O
262,29,140,O
263,29,mg,O
264,29,/,O
265,29,dl,O
266,29,),O
267,30,Ulcer,B-Condition
268,30,located,O
269,30,on,O
270,30,the,O
271,30,legs,O
272,30,or,O
273,30,feet,O
274,30,",",O
275,30,stage,O
276,30,III,O
277,30,or,O
278,30,IV,O
279,30,(,O
280,30,Wagner,O
281,30,Classification,O
282,30,System,O
283,30,),O
284,31,The,O
285,31,subject,O
286,31,agrees,O
287,31,to,O
288,31,comply,O
289,31,with,O
290,31,study,O
291,31,protocol,O
292,31,requirements,O
293,31,and,O
294,31,all,O
295,31,follow,O
296,31,up,O
297,31,visit,O
298,31,requirements,O
299,31,.,O
300,32,Hypersensitivity,B-Condition
301,32,to,O
302,32,B,B-Drug
303,32,-,I-Drug
304,32,lactams,I-Drug
305,33,concomitant,O
306,33,disease,B-Condition
307,33,which,O
308,33,must,O
309,33,be,O
310,33,treated,B-Procedure
311,33,with,O
312,33,antibiotics,B-Drug
313,34,chronic,O
314,34,disease,O
315,34,-,O
316,34,Immunocompromised,B-Condition
317,35,Antibiotics,B-Drug
318,35,within,O
319,35,72,O
320,35,h,O
321,36,history,B-Observation
322,36,of,O
323,36,ARF,B-Condition
324,36,",",O
325,36,scarlet,B-Condition
326,36,fever,I-Condition
327,36,",",O
328,36,impetigo,B-Condition
329,36,",",O
330,36,acute,B-Condition
331,36,glomerulonephritis,I-Condition
332,37,Family,B-Observation
333,37,history,I-Observation
334,37,of,O
335,37,ARF,B-Condition
336,38,Complicated,O
337,38,pharyngitis,B-Condition
338,39,3,O
339,39,-15,O
340,39,years,O
341,39,old,B-Person
342,40,Clinical,B-Mood
343,40,symptoms,I-Mood
344,40,suggestive,I-Mood
345,40,of,I-Mood
346,40,pharyngitis,B-Condition
347,40,with,O
348,40,MC,O
349,40,Isaac,O
350,40,score,O
351,40,=3,O
352,41,Rapid,O
353,41,-,O
354,41,antigen,O
355,41,detection,O
356,41,test,O
357,41,(,O
358,41,RADT,O
359,41,),O
360,41,positive,O
361,41,for,O
362,41,GAS-,O
363,42,Signed,O
364,42,informed,O
365,42,parental,O
366,42,/,O
367,42,patient,O
368,42,consent,O
369,42,form,O
370,43,aged,B-Person
371,43,less,O
372,43,than,O
373,43,20,O
374,43,years,O
375,44,history,O
376,44,of,O
377,44,gastric,B-Procedure
378,44,resection,I-Procedure
379,44,surgery,I-Procedure
380,45,history,O
381,45,of,O
382,45,allergy,B-Condition
383,45,to,O
384,45,study,B-Drug
385,45,drugs,I-Drug
386,46,pregnancy,B-Condition
387,46,or,O
388,46,lactating,B-Condition
389,46,women,B-Person
390,47,severe,B-Condition
391,47,underlying,I-Condition
392,47,illness,I-Condition
393,47,",",O
394,47,such,O
395,47,as,O
396,47,end,B-Condition
397,47,stage,I-Condition
398,47,renal,I-Condition
399,47,disease,I-Condition
400,47,",",O
401,47,decompensated,O
402,47,liver,B-Condition
403,47,cirrhosis,I-Condition
404,47,",",O
405,47,or,O
406,47,non,O
407,47,-,O
408,47,curative,O
409,47,malignancy,B-Condition
410,48,H,B-Condition
411,48,pylori,I-Condition
412,48,infection,I-Condition
413,48,failed,O
414,48,after,O
415,48,at,O
416,48,least,O
417,48,two,O
418,48,eradication,B-Procedure
419,48,therapies,I-Procedure
420,49,aged,B-Person
421,49,20,O
422,49,years,O
423,49,or,O
424,49,greater,O
425,50,willingness,B-Mood
426,50,to,O
427,50,receive,O
428,50,rescue,B-Procedure
429,50,therapy,I-Procedure
430,51,NA,O
431,52,Fluent,O
432,52,in,O
433,52,reading,O
434,52,and,O
435,52,writing,O
436,52,in,O
437,52,English,O
438,52,language,O
439,52,.,O
440,53,=,O
441,53,21,O
442,53,years,O
443,53,of,O
444,53,age,B-Person
445,53,at,O
446,53,the,O
447,53,time,O
448,53,of,O
449,53,participation,O
450,53,.,O
451,54,History,O
452,54,of,O
453,54,anti,B-Drug
454,54,-,I-Drug
455,54,vascular,I-Drug
456,54,endothelial,I-Drug
457,54,growth,I-Drug
458,54,factor,I-Drug
459,54,treatment,O
460,54,in,O
461,54,the,O
462,54,past,O
463,54,12,O
464,54,months,O
465,55,Any,O
466,55,diabetic,B-Condition
467,55,macular,I-Condition
468,55,edema,I-Condition
469,55,treatment,B-Procedure
470,55,in,O
471,55,the,O
472,55,past,O
473,55,4,O
474,55,months,O
475,56,Heart,B-Condition
476,56,attack,I-Condition
477,56,",",O
478,56,stroke,B-Condition
479,56,",",O
480,56,transient,B-Condition
481,56,ischemic,I-Condition
482,56,attack,I-Condition
483,56,or,O
484,56,acute,B-Condition
485,56,congestive,I-Condition
486,56,heart,I-Condition
487,56,failure,I-Condition
488,56,within,O
489,56,4,O
490,56,months,O
491,57,Diagnosis,O
492,57,of,O
493,57,diabetes,B-Condition
494,57,mellitus,I-Condition
495,58,Best,O
496,58,corrected,O
497,58,visual,O
498,58,acuity,O
499,58,20/32,O
500,58,-,O
501,58,20/320,O
502,59,Diabetic,B-Condition
503,59,macular,I-Condition
504,59,edema,I-Condition
505,59,involving,O
506,59,the,O
507,59,center,O
508,59,of,O
509,59,the,O
510,59,macula,O
511,60,Optical,O
512,60,coherence,O
513,60,tomography,O
514,60,central,O
515,60,subfield,O
516,60,thickness,O
517,60,of,O
518,60,at,O
519,60,least,O
520,60,250,O
521,60,microns,O
522,61,Nursing,O
523,61,homes,O
524,61,will,O
525,61,not,O
526,61,be,O
527,61,eligible,O
528,61,to,O
529,61,participate,O
530,61,if,O
531,61,they,O
532,61,meet,O
533,61,the,O
534,61,following,O
535,61,criteria,O
536,61,:,O
537,62,Facilities,O
538,62,routinely,O
539,62,using,O
540,62,decolonization,B-Procedure
541,63,Dedicated,O
542,63,psychiatric,O
543,63,nursing,O
544,63,homes,O
545,64,Facilities,O
546,64,with,O
547,64,a,O
548,64,resident,O
549,64,population,O
550,64,with,O
551,64,>,O
552,64,=,O
553,64,20,O
554,64,%,O
555,64,combative,B-Observation
556,64,patients,I-Observation
557,65,Pediatric,O
558,65,facilities,O
559,66,Nursing,O
560,66,homes,O
561,66,will,O
562,66,be,O
563,66,eligible,O
564,66,to,O
565,66,participate,O
566,66,if,O
567,66,they,O
568,66,meet,O
569,66,the,O
570,66,following,O
571,66,criteria,O
572,66,:,O
573,67,Licensed,O
574,67,nursing,O
575,67,home,O
576,67,in,O
577,67,Orange,O
578,67,County,O
579,67,or,O
580,67,Southern,O
581,67,Los,O
582,67,Angeles,O
583,67,County,O
584,67,serving,O
585,67,adults,O
586,68,Minimal,O
587,68,use,O
588,68,of,O
589,68,chlorhexidine,B-Procedure
590,68,bathing,I-Procedure
591,68,*,O
592,69,Minimal,O
593,69,use,O
594,69,of,O
595,69,nasal,B-Procedure
596,69,decolonization,I-Procedure
597,69,*,O
598,69,*,O
599,69,Minimal,O
600,69,use,O
601,69,defined,O
602,69,as,O
603,69,<,O
604,69,15,O
605,69,%,O
606,69,of,O
607,69,residents,O
608,69,receiving,O
609,69,at,O
610,69,least,O
611,69,one,O
612,69,chlorhexidine,B-Procedure
613,69,bath,I-Procedure
614,69,or,O
615,69,nasal,B-Procedure
616,69,decolonization,I-Procedure
617,69,treatment,I-Procedure
618,69,during,O
619,69,their,O
620,69,nursing,O
621,69,home,O
622,69,stay,O
623,69,.,O
624,70,1,O
625,70,.,O
626,70,Left,B-Condition
627,70,main,I-Condition
628,70,disease,I-Condition
629,70,(,O
630,70,angiographically,O
631,70,>,O
632,70,50,O
633,70,%,O
634,70,),O
635,71,2,O
636,71,.,O
637,71,Cardiogenic,B-Condition
638,71,shock,I-Condition
639,71,/,O
640,71,hemodynamic,B-Condition
641,71,instability,I-Condition
642,72,3,O
643,72,.,O
644,72,Previous,O
645,72,CABG,B-Condition
646,73,4,O
647,73,.,O
648,73,Increased,O
649,73,risk,O
650,73,of,O
651,73,bradycardia,B-Condition
652,73,on,O
653,73,investigator,O
654,73,clinical,O
655,73,judgment,O
656,74,5,O
657,74,.,O
658,74,Severe,O
659,74,chronic,B-Condition
660,74,obstructive,I-Condition
661,74,pulmonary,I-Condition
662,74,disease,I-Condition
663,75,6,O
664,75,.,O
665,75,Coronary,B-Condition
666,75,vessels,I-Condition
667,75,with,I-Condition
668,75,tortuosity,I-Condition
669,75,or,I-Condition
670,75,extremely,I-Condition
671,75,calcified,I-Condition
672,76,7,O
673,76,.,O
674,76,Severe,O
675,76,left,B-Condition
676,76,ventricular,I-Condition
677,76,hypertrophy,I-Condition
678,76,or,O
679,76,severe,O
680,76,valvular,B-Condition
681,76,disease,I-Condition
682,77,8,O
683,77,.,O
684,77,STEMI,B-Condition
685,77,or,O
686,77,non,B-Condition
687,77,-,I-Condition
688,77,STEMI,I-Condition
689,77,within,O
690,77,the,O
691,77,past,O
692,77,five,O
693,77,days,O
694,78,9,O
695,78,.,O
696,78,Previous,O
697,78,myocardial,B-Condition
698,78,infarction,I-Condition
699,78,in,O
700,78,the,O
701,78,distribution,O
702,78,of,O
703,78,the,O
704,78,target,O
705,78,vessel,O
706,78,for,O
707,78,the,O
708,78,FFR,O
709,79,10,O
710,79,.,O
711,79,Acute,B-Condition
712,79,decompensated,I-Condition
713,79,heart,I-Condition
714,79,failure,I-Condition
715,79,.,O
716,80,1,O
717,80,.,O
718,80,Age,B-Person
719,80,18,O
720,80,-,O
721,80,80,O
722,80,years,O
723,81,2,O
724,81,.,O
725,81,Patients,O
726,81,with,O
727,81,at,O
728,81,least,O
729,81,1,O
730,81,≥50,O
731,81,%,O
732,81,stenosis,O
733,81,in,O
734,81,a,O
735,81,coronary,O
736,81,vessel,O
737,81,",",O
738,81,subjected,O
739,81,to,O
740,81,FFR,B-Procedure
741,81,assessment,I-Procedure
742,81,",",O
743,81,who,O
744,81,exhibit,O
745,81,variation,B-Condition
746,81,in,I-Condition
747,81,Pd,I-Condition
748,81,/,I-Condition
749,81,Pa,I-Condition
750,81,ratio,I-Condition
751,81,≥,O
752,81,0.05,O
753,81,(,O
754,81,e.g.,O
755,81,difference,O
756,81,of,O
757,81,max,O
758,81,Pd,O
759,81,/,O
760,81,Pa,O
761,81,minus,O
762,81,min,O
763,81,Pd,O
764,81,/,O
765,81,Pa,O
766,81,),O
767,81,during,O
768,81,steady,O
769,81,state,O
770,81,hyperaemia,B-Condition
771,81,(,O
772,81,determined,O
773,81,by,O
774,81,visual,B-Procedure
775,81,assessment,I-Procedure
776,81,),O
777,81,.,O
778,82,3,O
779,82,.,O
780,82,Written,O
781,82,informed,O
782,82,consent,O
783,83,Age,B-Person
784,83,<,O
785,83,20,O
786,83,or,O
787,83,>,O
788,83,35,O
789,83,years,O
790,83,.,O
791,84,Congenital,B-Condition
792,84,uterine,I-Condition
793,84,malformation,I-Condition
794,84,.,O
795,85,Multifetal,B-Condition
796,85,pregnancy,I-Condition
797,85,.,O
798,86,Known,O
799,86,major,O
800,86,fetal,B-Condition
801,86,structural,I-Condition
802,86,or,O
803,86,chromosomal,B-Condition
804,86,abnormality,I-Condition
805,86,.,O
806,87,Known,O
807,87,allergy,B-Condition
808,87,or,O
809,87,contraindication,B-Condition
810,87,(,O
811,87,relative,O
812,87,or,O
813,87,absolute,O
814,87,),O
815,87,to,O
816,87,progesterone,B-Procedure
817,87,therapy,I-Procedure
818,87,.,O
819,88,Presence,O
820,88,of,O
821,88,contraindication,B-Condition
822,88,to,O
823,88,cervical,B-Procedure
824,88,cerclage,I-Procedure
825,88,.,O
826,89,Medical,B-Condition
827,89,conditions,I-Condition
828,89,complicating,O
829,89,pregnancy,O
830,89,.,O
831,90,Vaginal,B-Condition
832,90,bleeding,I-Condition
833,90,.,O
834,91,Women,B-Person
835,91,with,O
836,91,singleton,B-Condition
837,91,pregnancy,I-Condition
838,91,.,O
839,92,History,O
840,92,of,O
841,92,preterm,B-Condition
842,92,labor,I-Condition
843,92,and/or,O
844,92,midtrimester,B-Condition
845,92,miscarriage,I-Condition
846,92,in,O
847,92,a,O
848,92,previous,O
849,92,pregnancy,B-Condition
850,92,.,O
851,93,Cervical,O
852,93,length,O
853,93,of,O
854,93,15,O
855,93,-,O
856,93,25,O
857,93,mm,O
858,93,by,O
859,93,transvaginal,B-Procedure
860,93,sonography,I-Procedure
861,93,(,I-Procedure
862,93,TVS,I-Procedure
863,93,),I-Procedure
864,93,at,O
865,93,16,O
866,93,-,O
867,93,24,O
868,93,weeks,O
869,93,of,O
870,93,gestation,O
871,93,.,O
872,94,Contraindications,B-Condition
873,94,to,O
874,94,empagliflozin,B-Drug
875,94,",",O
876,94,Sitagliptin,B-Drug
877,95,DPP4,B-Drug
878,95,inhibitors,I-Drug
879,95,or,O
880,95,Sodium,B-Drug
881,95,-,I-Drug
882,95,glucose,I-Drug
883,95,cotransporter-2(SGLT2,I-Drug
884,95,),I-Drug
885,95,inhibitors,I-Drug
886,95,within,O
887,95,the,O
888,95,previous,O
889,95,4,O
890,95,weeks,O
891,96,Insulin,B-Drug
892,96,requiring,O
893,96,diabetes,B-Procedure
894,97,Poor,B-Condition
895,97,glucose,I-Condition
896,97,control,I-Condition
897,97,(,O
898,97,HbA1C>10,O
899,97,%,O
900,97,),O
901,98,Acute,B-Condition
902,98,coronary,I-Condition
903,98,syndrome,I-Condition
904,99,Stent,O
905,99,placement,B-Procedure
906,99,within,O
907,99,the,O
908,99,previous,O
909,99,6,O
910,99,months,O
911,100,Previous,O
912,100,coronary,B-Procedure
913,100,artery,I-Procedure
914,100,bypass,I-Procedure
915,100,graft,I-Procedure
916,100,surgery,I-Procedure
917,100,within,O
918,100,the,O
919,100,previous,O
920,100,6,O
921,100,months,O
922,101,Planned,B-Mood
923,101,revascularization,B-Procedure
924,101,within,O
925,101,6,O
926,101,months,O
927,102,Heart,B-Condition
928,102,failure,I-Condition
929,102,requiring,O
930,102,loop,B-Drug
931,102,diuretics,I-Drug
932,103,Severe,O
933,103,left,B-Condition
934,103,ventricular,I-Condition
935,103,hypertrophy,I-Condition
936,103,(,O
937,103,left,O
938,103,ventricular,O
939,103,septal,O
940,103,wall,O
941,103,thickness,O
942,103,>,O
943,103,13,O
944,103,mm,O
945,103,),O
946,104,Significant,O
947,104,renal,B-Condition
948,104,disease,I-Condition
949,104,manifested,O
950,104,by,O
951,104,creatinine,O
952,104,clearance,O
953,104,of,O
954,104,<,O
955,104,30,O
956,104,ml,O
957,104,/,O
958,104,min,O
959,104,),O
960,105,Hepatic,B-Condition
961,105,disease,I-Condition
962,105,or,O
963,105,biliary,B-Condition
964,105,tract,I-Condition
965,105,obstruction,I-Condition
966,105,",",O
967,105,or,O
968,105,significant,O
969,105,hepatic,B-Condition
970,105,enzyme,I-Condition
971,105,elevation,I-Condition
972,105,(,O
973,105,alanine,O
974,105,transaminase,O
975,105,or,O
976,105,Aspartate,O
977,105,Aminotransferase,O
978,105,>,O
979,105,3,O
980,105,times,O
981,105,upper,O
982,105,limit,O
983,105,of,O
984,105,normal,O
985,105,),O
986,106,Radiopaque,O
987,106,material,O
988,106,implanted,O
989,106,in,O
990,106,the,O
991,106,chest,O
992,106,wall,O
993,106,(,O
994,106,metal,O
995,106,",",O
996,106,silicone,O
997,106,",",O
998,106,etc,O
999,106,.,O
1000,106,),O
1001,107,Contraindication,B-Condition
1002,107,to,O
1003,107,adenosine,B-Procedure
1004,107,stress,I-Procedure
1005,107,test,I-Procedure
1006,108,Any,O
1007,108,clinically,O
1008,108,significant,O
1009,108,abnormality,O
1010,108,identified,O
1011,108,at,O
1012,108,the,O
1013,108,screening,O
1014,108,visit,O
1015,108,",",O
1016,108,physical,O
1017,108,examination,O
1018,108,",",O
1019,108,laboratory,O
1020,108,tests,O
1021,108,",",O
1022,108,or,O
1023,108,electrocardiogram,O
1024,108,which,O
1025,108,",",O
1026,108,in,O
1027,108,the,O
1028,108,judgment,O
1029,108,of,O
1030,108,the,O
1031,108,Investigator,O
1032,108,",",O
1033,108,would,O
1034,108,preclude,O
1035,108,safe,O
1036,108,completion,O
1037,108,of,O
1038,108,the,O
1039,108,study,O
1040,108,.,O
1041,109,Patient,O
1042,109,'s,O
1043,109,pregnant,B-Condition
1044,109,or,O
1045,109,breast,B-Condition
1046,109,-,I-Condition
1047,109,feeding,I-Condition
1048,109,or,O
1049,109,child,B-Condition
1050,109,-,I-Condition
1051,109,bearing,I-Condition
1052,109,potential,I-Condition
1053,110,Expected,B-Observation
1054,110,life,I-Observation
1055,110,expectancy,I-Observation
1056,110,<,O
1057,110,1,O
1058,110,year,O
1059,111,Unwillingness,O
1060,111,or,O
1061,111,inability,O
1062,111,to,O
1063,111,comply,O
1064,111,with,O
1065,111,the,O
1066,111,procedures,O
1067,111,described,O
1068,111,in,O
1069,111,this,O
1070,111,protocol,O
1071,112,Men,B-Person
1072,112,or,O
1073,112,women,B-Person
1074,112,at,O
1075,112,least,O
1076,112,19,O
1077,112,years,O
1078,112,of,O
1079,112,age,B-Person
1080,113,Type,B-Condition
1081,113,2,I-Condition
1082,113,diabetes,I-Condition
1083,113,mellitus,I-Condition
1084,114,Stable,O
1085,114,coronary,B-Condition
1086,114,artery,I-Condition
1087,114,disease,I-Condition
1088,115,Global,O
1089,115,myocardial,O
1090,115,perfusion,O
1091,115,reserve,O
1092,115,(,O
1093,115,MPR,O
1094,115,),O
1095,115,index,O
1096,115,<,O
1097,115,2.5,O
1098,116,The,O
1099,116,patient,O
1100,116,or,O
1101,116,guardian,O
1102,116,agrees,O
1103,116,to,O
1104,116,the,O
1105,116,study,O
1106,116,protocol,O
1107,116,and,O
1108,116,the,O
1109,116,schedule,O
1110,116,of,O
1111,116,clinical,O
1112,116,and,O
1113,116,dynamic,O
1114,116,SPECT,O
1115,116,follow,O
1116,116,-,O
1117,116,up,O
1118,116,",",O
1119,116,and,O
1120,116,provides,O
1121,116,informed,O
1122,116,",",O
1123,116,written,O
1124,116,consent,O
1125,116,",",O
1126,116,as,O
1127,116,approved,O
1128,116,by,O
1129,116,the,O
1130,116,appropriate,O
1131,116,Institutional,O
1132,116,Review,O
1133,116,Board,O
1134,116,/,O
1135,116,Ethical,O
1136,116,Committee,O
1137,116,of,O
1138,116,the,O
1139,116,respective,O
1140,116,clinical,O
1141,116,site,O
1142,116,.,O
1143,117,Patients,O
1144,117,with,O
1145,117,cardiac,B-Condition
1146,117,",",I-Condition
1147,117,pulmonary,I-Condition
1148,117,",",I-Condition
1149,117,hepatic,I-Condition
1150,117,",",I-Condition
1151,117,or,I-Condition
1152,117,renal,I-Condition
1153,117,dysfunction,I-Condition
1154,117,",",O
1155,117,epilepsy,B-Condition
1156,117,",",O
1157,117,or,O
1158,117,uncontrolled,O
1159,117,hypertension,B-Condition
1160,117,",",O
1161,117,or,O
1162,117,those,O
1163,117,taking,O
1164,117,medications,B-Drug
1165,117,that,I-Drug
1166,117,influence,I-Drug
1167,117,the,I-Drug
1168,117,central,I-Drug
1169,117,nervous,I-Drug
1170,117,system,I-Drug
1171,117,",",O
1172,117,are,O
1173,117,excluded,O
1174,117,from,O
1175,117,the,O
1176,117,study,O
1177,117,.,O
1178,117,Patients,O
1179,117,who,O
1180,117,show,O
1181,117,obvious,O
1182,117,alteration,B-Condition
1183,117,of,I-Condition
1184,117,mental,I-Condition
1185,117,status,I-Condition
1186,117,",",O
1187,117,or,O
1188,117,refuse,B-Observation
1189,117,to,I-Observation
1190,117,participate,I-Observation
1191,117,",",O
1192,117,are,O
1193,117,also,O
1194,117,excluded,O
1195,117,from,O
1196,117,the,O
1197,117,study,O
1198,117,.,O
1199,118,Patients,O
1200,118,scheduled,B-Mood
1201,118,for,O
1202,118,laser,B-Procedure
1203,118,laryngeal,I-Procedure
1204,118,surgery,I-Procedure
1205,118,under,O
1206,118,general,B-Procedure
1207,118,anesthesia,I-Procedure
1208,118,with,O
1209,118,either,O
1210,118,Propofol,B-Drug
1211,118,or,O
1212,118,desflurane,B-Drug
1213,118,based,O
1214,118,technique,O
1215,118,.,O
1216,119,History,B-Observation
1217,119,of,O
1218,119,cardiovascular,B-Condition
1219,119,disease,I-Condition
1220,119,;,O
1221,120,Current,O
1222,120,pregnancy,B-Condition
1223,120,;,O
1224,121,Uncontrolled,O
1225,121,hypertension,B-Condition
1226,121,;,O
1227,122,Uncontrolled,O
1228,122,hyperlipidemia,B-Condition
1229,122,;,O
1230,123,Current,O
1231,123,hormone,B-Procedure
1232,123,replacement,I-Procedure
1233,123,therapy,I-Procedure
1234,123,;,O
1235,124,Current,O
1236,124,use,B-Observation
1237,124,of,I-Observation
1238,124,tobacco,I-Observation
1239,124,products,I-Observation
1240,124,;,O
1241,125,Elevated,B-Condition
1242,125,liver,I-Condition
1243,125,enzymes,I-Condition
1244,125,;,O
1245,126,Current,O
1246,126,autoimmune,B-Condition
1247,126,disease,I-Condition
1248,126,;,O
1249,127,Daily,O
1250,127,use,O
1251,127,of,O
1252,127,of,O
1253,127,antioxidants,B-Drug
1254,127,>,O
1255,127,300,O
1256,127,mg,O
1257,128,Stage,O
1258,128,3,O
1259,128,-,O
1260,128,5,O
1261,128,Chronic,B-Condition
1262,128,Kidney,I-Condition
1263,128,Disease,I-Condition
1264,129,Left,B-Condition
1265,129,main,I-Condition
1266,129,disease,I-Condition
1267,130,Known,O
1268,130,hypersensitivity,B-Condition
1269,130,or,O
1270,130,contraindication,B-Condition
1271,130,to,O
1272,130,any,O
1273,130,of,O
1274,130,the,O
1275,130,following,O
1276,130,medications,O
1277,130,:,O
1278,130,Heparin,B-Drug
1279,130,",",O
1280,130,aspirin,B-Drug
1281,130,",",O
1282,130,clopidogrel,B-Drug
1283,130,",",O
1284,130,sirolimus,B-Drug
1285,130,",",O
1286,130,siptagliptin,B-Drug
1287,130,and,O
1288,130,statin,B-Drug
1289,131,Congestive,B-Condition
1290,131,heart,I-Condition
1291,131,failure,I-Condition
1292,131,(,O
1293,131,patients,O
1294,131,with,O
1295,131,LVEF,O
1296,131,<,O
1297,131,30,O
1298,131,%,O
1299,131,or,O
1300,131,cardiogenic,B-Condition
1301,131,shock,I-Condition
1302,131,),O
1303,132,Uncontrolled,O
1304,132,myocardial,B-Condition
1305,132,ischemia,I-Condition
1306,132,(,O
1307,132,repeated,O
1308,132,chest,B-Condition
1309,132,pain,I-Condition
1310,132,or,O
